trip_id,source,destination,vehicle_reg,driver_id,cargo_weight_kg,planned_distance_km,actual_distance_km,fuel_consumed_liters,revenue,status,created_date,dispatched_date,completed_date
TRIP-001,Surat,Ahmedabad,VEH-14,DRV-18,622,335,354.0,64.4,16094.37,Completed,2026-06-03,2026-06-03,2026-06-04
TRIP-002,Jaipur,Jaipur,VEH-11,DRV-07,13761,65,60.0,7.3,2552.87,Completed,2026-04-23,2026-04-23,2026-04-24
TRIP-003,Mumbai,Indore,VEH-07,DRV-04,755,110,110.0,18.3,5382.5,Completed,2026-03-15,2026-03-15,2026-03-16
TRIP-004,Ahmedabad,Ahmedabad,VAN-05,DRV-05,434,727,762.0,118.2,36320.56,Completed,2026-05-05,2026-05-05,2026-05-05
TRIP-005,Surat,Vadodara,VEH-02,DRV-18,5196,101,128.0,20.0,3673.41,Completed,2026-02-07,2026-02-07,2026-02-07
TRIP-006,Ahmedabad,Surat,VEH-13,DRV-17,199,741,746.0,122.0,32147.91,Completed,2026-01-28,2026-01-28,2026-01-29
TRIP-007,Pune,Rajkot,VEH-07,DRV-05,942,628,651.0,112.9,25316.12,Completed,2026-04-17,2026-04-17,2026-04-18
TRIP-008,Jaipur,Surat,VEH-06,DRV-17,479,737,768.0,134.7,26874.86,Completed,2026-04-03,2026-04-03,2026-04-03
TRIP-009,Pune,Mumbai,VEH-13,DRV-16,274,568,574.0,114.1,21672.0,Completed,2026-03-25,2026-03-25,2026-03-25
TRIP-010,Mumbai,Surat,VEH-05,DRV-15,1303,606,641.0,112.3,32589.83,Completed,2026-01-06,2026-01-06,2026-01-06
TRIP-011,Mumbai,Rajkot,VEH-10,DRV-07,1750,320,317.0,39.3,15792.72,Completed,2026-02-01,2026-02-01,2026-02-01
TRIP-012,Ahmedabad,Surat,VEH-04,DRV-12,613,753,783.0,99.0,35907.32,Completed,2026-02-13,2026-02-13,2026-02-13
TRIP-013,Vadodara,Jaipur,VEH-05,DRV-09,1299,333,325.0,72.0,15329.19,Completed,2026-05-20,2026-05-20,2026-05-20
TRIP-014,Ahmedabad,Pune,VEH-07,DRV-07,782,624,614.0,124.1,29109.72,Completed,2025-12-28,2025-12-28,2025-12-29
TRIP-015,Rajkot,Rajkot,VEH-11,DRV-15,7331,490,488.0,104.6,23685.95,Completed,2026-03-21,2026-03-21,2026-03-22
TRIP-016,Rajkot,Vadodara,VEH-09,DRV-16,2498,848,873.0,108.6,46236.45,Completed,2026-03-10,2026-03-10,2026-03-10
TRIP-017,Rajkot,Mumbai,VEH-10,DRV-05,1925,472,463.0,88.7,18022.83,Completed,2026-03-29,2026-03-29,2026-03-30
TRIP-018,Jaipur,Pune,VEH-04,DRV-13,1123,160,174.0,21.8,6576.61,Completed,2026-02-22,2026-02-22,2026-02-22
TRIP-019,Surat,Mumbai,VEH-09,DRV-15,1982,278,269.0,37.7,11682.37,Completed,2026-03-12,2026-03-12,2026-03-12
TRIP-020,Surat,Mumbai,VEH-05,DRV-05,971,459,492.0,58.4,17704.25,Completed,2026-02-05,2026-02-05,2026-02-05
TRIP-021,Indore,Surat,VEH-08,DRV-18,10724,89,85.0,12.3,3800.65,Completed,2026-03-26,2026-03-26,2026-03-27
TRIP-022,Rajkot,Pune,VEH-07,DRV-06,935,244,250.0,53.4,10644.73,Completed,2026-03-03,2026-03-03,2026-03-04
TRIP-023,Mumbai,Indore,VEH-12,DRV-12,8111,388,417.0,72.5,16111.18,Completed,2026-05-22,2026-05-22,2026-05-22
TRIP-024,Vadodara,Mumbai,VEH-12,DRV-05,8381,352,377.0,75.3,15178.77,Completed,2026-03-07,2026-03-07,2026-03-08
TRIP-025,Pune,Jaipur,VEH-10,DRV-05,1201,361,369.0,69.1,15824.7,Completed,2026-01-25,2026-01-25,2026-01-26
TRIP-026,Mumbai,Pune,VEH-16,DRV-18,16679,268,290.0,45.4,9880.56,Completed,2026-05-10,2026-05-10,2026-05-10
TRIP-027,Ahmedabad,Rajkot,VEH-08,DRV-05,18681,290,323.0,56.3,15856.83,Completed,2026-05-03,2026-05-03,2026-05-03
TRIP-028,Indore,Jaipur,VEH-08,DRV-03,16390,836,830.0,131.3,35942.2,Completed,2026-01-12,2026-01-12,2026-01-12
TRIP-029,Ahmedabad,Surat,VEH-07,DRV-09,665,274,,,0.0,Cancelled,2026-06-28,2026-06-28,
TRIP-030,Jaipur,Ahmedabad,VEH-10,DRV-18,3083,305,,,0.0,Cancelled,2026-06-26,2026-06-26,
TRIP-031,Surat,Jaipur,VEH-04,DRV-08,406,525,,,0.0,Cancelled,2026-05-14,2026-05-14,
TRIP-032,Pune,Jaipur,VEH-16,DRV-16,13777,566,,,0.0,Cancelled,2026-05-26,2026-05-26,
TRIP-033,Jaipur,Vadodara,VEH-13,DRV-05,353,510,,,0.0,Cancelled,2026-06-10,2026-06-10,
TRIP-034,Rajkot,Mumbai,VEH-15,DRV-11,1124,583,,,0.0,Cancelled,2026-06-21,2026-06-21,
TRIP-035,Rajkot,Mumbai,VEH-06,DRV-12,570,89,,,0.0,Draft,2026-07-09,,
TRIP-036,Rajkot,Mumbai,VEH-05,DRV-06,793,213,,,0.0,Draft,2026-07-10,,
TRIP-037,Vadodara,Vadodara,VEH-06,DRV-12,463,246,,,0.0,Draft,2026-07-12,,
TRIP-038,Rajkot,Surat,VEH-10,DRV-12,2049,258,,,0.0,Draft,2026-07-11,,
TRIP-039,Jaipur,Indore,VEH-15,DRV-03,573,155,,,0.0,Draft,2026-07-10,,
TRIP-040,Indore,Indore,VEH-04,DRV-04,1138,100,,,0.0,Dispatched,2026-07-11,2026-07-11,
TRIP-041,Indore,Jaipur,VEH-08,DRV-09,8596,440,,,0.0,Dispatched,2026-07-11,2026-07-11,
TRIP-042,Indore,Indore,VEH-11,DRV-11,10949,639,,,0.0,Dispatched,2026-07-12,2026-07-12,
TRIP-043,Rajkot,Jaipur,VEH-12,DRV-13,5357,359,,,0.0,Dispatched,2026-07-11,2026-07-11,
TRIP-044,Jaipur,Ahmedabad,VEH-16,DRV-15,13851,424,,,0.0,Dispatched,2026-07-12,2026-07-12,
