fuel_log_id,vehicle_reg,trip_id,liters,cost,date
FUEL-001,VEH-08,,96.3,9754.73,2026-04-06
FUEL-002,VEH-09,TRIP-023,64.8,6548.92,2026-02-01
FUEL-003,VEH-02,TRIP-022,180.1,18433.41,2026-02-08
FUEL-004,VEH-02,TRIP-002,124.2,12494.49,2026-04-14
FUEL-005,VEH-16,TRIP-021,17.6,1715.31,2026-04-15
FUEL-006,VEH-10,TRIP-014,145.3,14932.95,2026-04-10
FUEL-007,VEH-10,,51.1,5047.8,2026-03-22
FUEL-008,VEH-15,,180.7,17888.62,2026-02-04
FUEL-009,VEH-05,TRIP-014,136.5,13129.93,2026-01-05
FUEL-010,VEH-06,TRIP-003,195.7,18624.81,2026-05-01
FUEL-011,VEH-03,TRIP-020,92.7,8562.99,2026-01-21
FUEL-012,VEH-14,,114.9,11100.8,2026-05-26
FUEL-013,VAN-05,TRIP-009,158.7,15170.37,2026-02-09
FUEL-014,VEH-12,TRIP-007,64.5,6274.79,2026-06-20
FUEL-015,VEH-14,TRIP-008,112.6,11401.19,2026-01-16
FUEL-016,VEH-03,TRIP-001,75.3,7323.47,2026-06-18
FUEL-017,VEH-02,TRIP-022,90.6,8987.08,2026-02-13
FUEL-018,VEH-08,TRIP-024,82.8,8374.15,2026-02-21
FUEL-019,VEH-15,TRIP-009,39.7,3751.79,2026-05-13
FUEL-020,VEH-07,TRIP-018,156.5,14787.69,2025-12-28
FUEL-021,VEH-11,,163.5,17117.78,2026-05-02
FUEL-022,VEH-10,TRIP-010,185.7,17799.57,2026-06-16
FUEL-023,VEH-05,TRIP-010,160.1,14992.66,2026-07-08
FUEL-024,VEH-15,TRIP-002,74.9,7810.06,2026-02-20
FUEL-025,VEH-07,,115.6,11946.72,2025-12-31
FUEL-026,VEH-15,TRIP-016,105.3,9939.98,2026-03-11
FUEL-027,VEH-13,TRIP-028,38.4,3565.42,2026-03-11
FUEL-028,VAN-05,TRIP-019,155.7,14631.51,2026-01-31
FUEL-029,VEH-03,,32.5,3094.86,2026-04-25
FUEL-030,VEH-15,TRIP-014,137.2,13725.41,2026-02-06
FUEL-031,VEH-08,,107.4,10498.93,2026-04-05
FUEL-032,VAN-05,,77.6,7765.69,2026-03-24
FUEL-033,VEH-10,,35.3,3597.62,2026-01-03
FUEL-034,VEH-05,,150.4,14143.88,2026-05-05
FUEL-035,VEH-15,TRIP-003,15.5,1516.78,2026-06-01
FUEL-036,VEH-03,TRIP-010,62.5,6324.4,2026-07-03
FUEL-037,VEH-06,,29.6,2813.02,2026-03-17
FUEL-038,VEH-15,TRIP-026,135.9,13923.06,2026-02-01
FUEL-039,VEH-07,TRIP-004,61.1,5739.54,2026-02-22
FUEL-040,VAN-05,TRIP-005,27.2,2782.67,2026-06-23
FUEL-041,VEH-04,TRIP-027,203.8,19913.09,2026-02-16
FUEL-042,VEH-05,TRIP-010,97.5,9315.07,2026-01-13
FUEL-043,VEH-06,TRIP-015,137.6,14250.2,2026-06-21
FUEL-044,VEH-08,,66.3,6178.31,2026-02-07
FUEL-045,VEH-06,,135.4,12493.32,2026-02-14
FUEL-046,VEH-02,,133.1,13565.61,2026-05-04
FUEL-047,VEH-11,TRIP-017,105.7,10106.61,2026-01-26
FUEL-048,VEH-12,,145.1,14276.74,2026-03-22
FUEL-049,VEH-16,TRIP-012,83.3,8389.29,2026-03-29
FUEL-050,VEH-02,,99.4,9785.05,2026-04-18
FUEL-051,VEH-13,,181.8,18025.7,2026-03-31
FUEL-052,VAN-05,TRIP-011,81.3,8504.99,2026-05-08
FUEL-053,VEH-13,TRIP-017,149.8,14838.25,2026-07-11
FUEL-054,VAN-05,TRIP-007,89.2,9083.57,2026-03-01
FUEL-055,VEH-06,,25.6,2444.08,2025-12-29
FUEL-056,VEH-10,TRIP-010,195.6,19227.73,2026-03-21
FUEL-057,VEH-09,TRIP-021,178.9,18109.54,2026-02-06
FUEL-058,VEH-15,TRIP-001,98.6,9359.22,2026-02-20
FUEL-059,VEH-10,,109.6,10250.57,2026-06-12
FUEL-060,VEH-08,,206.2,19752.76,2026-03-06
