expense_id,vehicle_reg,expense_type,amount,date
EXP-001,VAN-01,Toll,450.00,2026-06-17
EXP-002,TRK-01,Toll,1200.00,2026-06-22
EXP-003,VAN-03,Parking,200.00,2026-07-01
EXP-004,TRK-02,Toll,1800.00,2026-07-02
EXP-005,VAN-01,Permit,2500.00,2026-06-05
EXP-006,TRK-03,Toll,2100.00,2026-06-12
EXP-007,VEH-04,Parking,150.00,2026-06-26
EXP-008,TRK-05,Toll,1350.00,2026-06-29
EXP-009,VAN-02,Driver Allowance,1500.00,2026-06-18
EXP-010,VEH-01,Parking,100.00,2026-06-12
EXP-011,TRK-01,Driver Allowance,2000.00,2026-06-09
EXP-012,VAN-04,Toll,600.00,2026-07-06
EXP-013,TRK-03,Permit,3000.00,2026-06-23
EXP-014,VAN-05,Toll,350.00,2026-07-07
EXP-015,TRK-04,Spare Parts,15000.00,2026-07-02
EXP-016,VEH-03,Labor,8000.00,2026-07-04
EXP-017,TRK-02,Driver Allowance,2500.00,2026-07-03
EXP-018,VAN-01,Insurance,12000.00,2026-06-01
EXP-019,TRK-01,Insurance,25000.00,2026-06-01
EXP-020,TRK-05,Insurance,22000.00,2026-06-01
